Country Name,Country Code,Series Name,Series Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,BGD,Agricultural land (sq. km),AG.LND.AGRI.K2,94340,94860,94000,94030,93530,93280,93230,93110,92800,92660,92530,92460,92410,91280,91230,92780,93200,94342.4,95172.1,95613.3,96273,98720,99280,100680,..
Bangladesh,BGD,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,87.62331105,95.96478947,103.3644718,113.7612587,121.4628085,127.7698928,163.1604933,173.7318149,194.5819776,203.9949316,205.932668,224.8430049,245.9041709,263.9819899,281.4439959,299.4803504,317.24537,..,..,..,..,..,..,..,..
Bangladesh,BGD,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.90786,41.01625,41.5632,42.46602,45.04865,..,..,..
Bangladesh,BGD,Population in largest city,EN.URB.LCTY,9454003,9860440,10284947,10695828,11083051,11484292,11900642,12330879,12777296,13239874,13719871,14215877,14730537,15263828,15816426,16389029,16982363,17597177,18234249,18894385,19578421,20283552,21005860,21741090,22478117
Bangladesh,BGD,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,60.24,60.54,60.2,55.96,54.47,52.62,52.05,50.66,48.69,47.19,45.2,43.1,40.31,38.44,37.36,36.96,35.34,31.12,30.23,28.01,25.79,26.37,27.96,..,..
Bangladesh,BGD,Rural population,SP.RUR.TOTL,95976181,97345170,98716621,99943164,100932171,101791806,102546176,103135334,103381656,103436270,103295671,103121684,103188230,103307619,103432288,103566785,103659677,103681684,103727348,103777884,103723251,103604879,103504655,103398765,103206552
Brazil,BRA,Agricultural land (sq. km),AG.LND.AGRI.K2,2281161,2282198,2283235,2284272,2285309,2286346,2287383,2288420,2289510,2296718,2303926,2311134,2318342,2325550,2332758,2339966,2347174,2354382,2361590,2368786,2375018.01,2381244.91,2387470.81,2393695.61,..
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1795.079232,1820.045932,1885.665465,1737.976157,1797.268162,1873.812369,1948.58174,2008.56721,2065.192202,2160.232633,2222.415792,2189.997778,2366.38012,2422.576221,2492.837864,2560.09556,2610.999282,..,..,..,..,..,..,..,..
Brazil,BRA,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.61506,55.22357,55.6207,58.59449,59.08307,..,..,..
Brazil,BRA,Population in largest city,EN.URB.LCTY,16564802,16787782,17014078,17260029,17511506,17766646,18025864,18288134,18554591,18824929,19099587,19377480,19659808,19901875,20143093,20386559,20633309,20883046,21136155,21391624,21650181,21846507,22043028,22237472,22429799
